dataset_name,run_label,seed,budget,coverage_target,frontier_set_size_llm,coverage_llm,point_risk_llm,frontier_set_size_reference,coverage_reference,point_risk_reference,set_size_gap_llm_minus_reference,coverage_gap_llm_minus_reference,risk_gap_llm_minus_reference
ANES96 vote,minimax_anes_schema_budgetgrid,10,60,0.8,0.9159663865546218,0.8487394957983193,0.0672268907563025,0.8916666666666667,0.8666666666666667,0.0583333333333333,0.024299719887955096,-0.017927170868347386,0.008893557422969205
ANES96 vote,minimax_anes_schema_budgetgrid,10,60,0.9,1.152542372881356,0.940677966101695,0.0847457627118644,1.0,0.95,0.05,0.15254237288135597,-0.009322033898304993,0.0347457627118644
ANES96 vote,minimax_anes_schema_budgetgrid,10,80,0.8,0.9393939393939394,0.8585858585858586,0.0808080808080807,0.99,0.93,0.0699999999999999,-0.05060606060606054,-0.07141414141414149,0.010808080808080808
ANES96 vote,minimax_anes_schema_budgetgrid,10,80,0.9,1.0,0.8979591836734694,0.1020408163265306,0.99,0.93,0.0699999999999999,0.010000000000000009,-0.03204081632653066,0.032040816326530705
ANES96 vote,minimax_anes_schema_budgetgrid,10,100,0.8,0.9240506329113924,0.8481012658227848,0.0759493670886075,0.925,0.875,0.0749999999999999,-0.0009493670886076,-0.026898734177215222,0.0009493670886076
ANES96 vote,minimax_anes_schema_budgetgrid,10,100,0.9,1.0,0.9240506329113924,0.0759493670886075,0.975,0.9125,0.0749999999999999,0.025000000000000022,0.011550632911392467,0.0009493670886076
ANES96 vote,minimax_anes_schema_budgetgrid,10,140,0.8,1.0,0.9,0.0999999999999999,0.85,0.775,0.125,0.15000000000000002,0.125,-0.025000000000000105
Fair affairs,minimax_fair_schema_budgetgrid,1,30,0.8,2.0,1.0,0.2933333333333333,1.54,0.9266666666666666,0.2733333333333333,0.45999999999999996,0.07333333333333336,0.019999999999999962
Fair affairs,minimax_fair_schema_budgetgrid,1,40,0.8,2.0,1.0,0.2857142857142857,1.4428571428571428,0.9428571428571428,0.2428571428571428,0.5571428571428572,0.05714285714285716,0.0428571428571429
Fair affairs,minimax_fair_schema_budgetgrid,1,40,0.9,2.0,1.0,0.2857142857142857,1.4642857142857142,0.9428571428571428,0.2428571428571428,0.5357142857142858,0.05714285714285716,0.0428571428571429
Fair affairs,minimax_fair_schema_budgetgrid,1,60,0.8,2.0,1.0,0.2666666666666667,1.4666666666666666,0.8666666666666667,0.3,0.5333333333333334,0.1333333333333333,-0.03333333333333327
Fair affairs,minimax_fair_schema_budgetgrid,1,60,0.9,2.0,1.0,0.2666666666666667,1.65,0.9416666666666668,0.3,0.3500000000000001,0.05833333333333324,-0.03333333333333327
Fair affairs,minimax_fair_schema_budgetgrid,1,80,0.8,2.0,1.0,0.25,1.39,0.9,0.3,0.6100000000000001,0.09999999999999998,-0.04999999999999999
Fair affairs,minimax_fair_schema_budgetgrid,1,80,0.9,2.0,1.0,0.25,1.66,0.97,0.3,0.3400000000000001,0.030000000000000027,-0.04999999999999999
Fair affairs,minimax_fair_schema_budgetgrid,1,100,0.8,2.0,1.0,0.25,1.4125,0.8875,0.35,0.5874999999999999,0.11250000000000004,-0.09999999999999998
Fair affairs,minimax_fair_schema_budgetgrid,1,100,0.9,2.0,1.0,0.25,1.7375,0.975,0.35,0.26249999999999996,0.025000000000000022,-0.09999999999999998
Fair affairs,minimax_fair_schema_budgetgrid,1,120,0.8,1.2833333333333334,0.8,0.2833333333333333,1.3166666666666669,0.8333333333333334,0.35,-0.03333333333333344,-0.033333333333333326,-0.06666666666666665
Fair affairs,minimax_fair_schema_budgetgrid,1,120,0.9,2.0,1.0,0.2833333333333333,1.5666666666666669,0.9166666666666666,0.35,0.4333333333333331,0.08333333333333337,-0.06666666666666665
Fair affairs,minimax_fair_schema_budgetgrid,1,140,0.8,1.2,0.775,0.25,1.25,0.85,0.3,-0.050000000000000044,-0.07499999999999996,-0.04999999999999999
Fair affairs,minimax_fair_schema_budgetgrid,1,140,0.9,2.0,1.0,0.25,1.55,0.925,0.375,0.44999999999999996,0.07499999999999996,-0.125
Fair affairs,minimax_fair_schema_budgetgrid,2,30,0.8,2.0,1.0,0.28,1.7666666666666666,0.96,0.3,0.2333333333333334,0.040000000000000036,-0.019999999999999962
Fair affairs,minimax_fair_schema_budgetgrid,2,40,0.8,2.0,1.0,0.2785714285714286,1.3571428571428572,0.8571428571428571,0.2928571428571428,0.6428571428571428,0.1428571428571429,-0.014285714285714235
Fair affairs,minimax_fair_schema_budgetgrid,2,40,0.9,2.0,1.0,0.2785714285714286,1.6,0.9428571428571428,0.3642857142857143,0.3999999999999999,0.05714285714285716,-0.08571428571428574
