dataset_name,run_label,method_family,coverage_target,budget,n_cells,n_attained,attainment_rate,mean_frontier_set_size,se_frontier_set_size,ci95_low_frontier_set_size,ci95_high_frontier_set_size,mean_coverage,mean_point_risk
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.9,120,10,6,0.6,1.0027777777777778,0.024501196745777748,0.9547554321560534,1.0508001233995021,0.9416666666666668,0.052777777777777736
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.9,140,10,9,0.9,0.9638888888888888,0.011111111111111113,0.942111111111111,0.9856666666666666,0.9083333333333332,0.06388888888888883
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.8,30,10,10,1.0,1.2141791044776118,0.09525804270835202,1.0274733407692418,1.4008848681859818,0.8888059701492537,0.176865671641791
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.8,40,10,10,1.0,1.0419354838709678,0.03671692705153522,0.9699703068499588,1.1139006608919768,0.842741935483871,0.17661290322580636
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.8,60,10,10,1.0,1.2134615384615386,0.05816755818987521,1.0994531244093833,1.327469952513694,0.9201923076923076,0.17307692307692304
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.8,80,10,10,1.0,1.038095238095238,0.03271343467543644,0.9739769061313825,1.1022135700590934,0.8416666666666668,0.1738095238095238
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.8,100,10,10,1.0,1.1015625,0.046889465360628234,1.0096591478931687,1.1934658521068313,0.8671875,0.178125
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.8,120,10,10,1.0,1.0795454545454544,0.04758275378012789,0.9862832571364037,1.172807651954505,0.8522727272727273,0.19090909090909086
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.9,40,10,9,0.9,1.4408602150537635,0.08710672981730994,1.270131024611836,1.611589405495691,0.9614695340501791,0.1774193548387096
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.9,60,10,10,1.0,1.423076923076923,0.08140016089230952,1.2635326077279962,1.5826212384258496,0.960576923076923,0.1807692307692307
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.9,80,10,9,0.9,1.2883597883597884,0.02948133477251676,1.2305763722056555,1.3461432045139212,0.9642857142857143,0.16798941798941797
