run_label,experiment_id,dataset_id,task_id,seed,budget,coverage_target,method_family,frontier_status,frontier_method,frontier_set_size,coverage,point_risk,n_methods,n_valid_methods
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,40,0.9,overall_frontier,attained,gradient_boosting_probability_conformal,2.97,0.98,0.7,6,3
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,40,0.9,reference,attained,gradient_boosting_probability_conformal,2.97,0.98,0.7,4,1
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.8,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.75,2,1
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.75,2,1
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.8,overall_frontier,attained,gradient_boosting_probability_conformal,2.1166666666666667,0.85,0.5666666666666667,6,3
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.8,reference,attained,gradient_boosting_probability_conformal,2.1166666666666667,0.85,0.5666666666666667,4,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.9,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.75,2,1
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.75,2,1
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.9,overall_frontier,attained,calibrated_probability_conformal,2.6333333333333333,1.0,0.5666666666666667,6,5
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.9,reference,attained,calibrated_probability_conformal,2.6333333333333333,1.0,0.5666666666666667,4,4
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.95,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.75,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.95,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.75,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.95,overall_frontier,attained,calibrated_probability_conformal,2.716666666666667,1.0,0.5666666666666667,6,6
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,80,0.95,reference,attained,calibrated_probability_conformal,2.716666666666667,1.0,0.5666666666666667,4,4
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,40,0.8,llm_cached,attained,cached_llm_L1_uncertainty,2.51948051948052,0.8831168831168831,0.6233766233766234,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,40,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L1_uncertainty,2.51948051948052,0.8831168831168831,0.6233766233766234,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,40,0.8,overall_frontier,attained,cached_llm_L1_uncertainty,2.51948051948052,0.8831168831168831,0.6233766233766234,6,6
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,40,0.8,reference,attained,random_forest_probability_conformal,2.58,0.94,0.48,4,4
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,40,0.9,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.675,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,40,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.675,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,40,0.9,overall_frontier,attained,random_forest_probability_conformal,2.83,0.98,0.48,6,6
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,40,0.9,reference,attained,random_forest_probability_conformal,2.83,0.98,0.48,4,4
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.8,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.7,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.7,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.8,overall_frontier,attained,random_forest_probability_conformal,2.083333333333333,0.8833333333333333,0.4666666666666667,6,6
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.8,reference,attained,random_forest_probability_conformal,2.083333333333333,0.8833333333333333,0.4666666666666667,4,4
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.9,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.7,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.7,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.9,overall_frontier,attained,calibrated_probability_conformal,2.35,0.95,0.4,6,6
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.9,reference,attained,calibrated_probability_conformal,2.35,0.95,0.4,4,4
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.95,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.7,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.95,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.7,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.95,overall_frontier,attained,calibrated_probability_conformal,2.5166666666666666,0.9833333333333332,0.4,6,6
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,1,80,0.95,reference,attained,calibrated_probability_conformal,2.5166666666666666,0.9833333333333332,0.4,4,4
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,40,0.8,llm_cached,attained,cached_llm_L1_uncertainty,2.4025974025974026,0.8181818181818182,0.6623376623376623,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,40,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L1_uncertainty,2.4025974025974026,0.8181818181818182,0.6623376623376623,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,40,0.8,overall_frontier,attained,gradient_boosting_probability_conformal,1.97,0.8,0.47,6,5
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,40,0.8,reference,attained,gradient_boosting_probability_conformal,1.97,0.8,0.47,4,3
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,40,0.9,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.6125,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,40,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.6125,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,40,0.9,overall_frontier,attained,calibrated_probability_conformal,2.54,0.97,0.41,6,5
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,40,0.9,reference,attained,calibrated_probability_conformal,2.54,0.97,0.41,4,3
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.8,llm_cached,attained,cached_llm_L1_uncertainty,2.783783783783784,0.918918918918919,0.7297297297297297,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L1_uncertainty,2.783783783783784,0.918918918918919,0.7297297297297297,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.8,overall_frontier,attained,gradient_boosting_probability_conformal,1.85,0.7833333333333333,0.55,6,3
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.8,reference,attained,gradient_boosting_probability_conformal,1.85,0.7833333333333333,0.55,4,1
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.9,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.625,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.625,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.9,overall_frontier,attained,calibrated_probability_conformal,2.15,0.9166666666666666,0.55,6,5
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.9,reference,attained,calibrated_probability_conformal,2.15,0.9166666666666666,0.55,4,3
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.95,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.625,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.95,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.625,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.95,overall_frontier,attained,calibrated_probability_conformal,2.466666666666667,0.95,0.55,6,4
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,2,80,0.95,reference,attained,calibrated_probability_conformal,2.466666666666667,0.95,0.55,4,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,3,40,0.8,llm_cached,attained,cached_llm_L1_uncertainty,2.779220779220779,0.8961038961038961,0.6753246753246753,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,3,40,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L1_uncertainty,2.779220779220779,0.8961038961038961,0.6753246753246753,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,3,40,0.8,overall_frontier,attained,calibrated_probability_conformal,1.67,0.78,0.42,6,5
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,3,40,0.8,reference,attained,calibrated_probability_conformal,1.67,0.78,0.42,4,3
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,3,40,0.9,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.6625,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,3,40,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.6625,2,2
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,3,40,0.9,overall_frontier,attained,calibrated_probability_conformal,2.15,0.88,0.42,6,5
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,3,40,0.9,reference,attained,calibrated_probability_conformal,2.15,0.88,0.42,4,3
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,3,80,0.8,llm_cached,attained,cached_llm_L1_uncertainty,2.810810810810811,0.945945945945946,0.7027027027027026,2,1
minimax_real_reference_vs_fixed,E05,smoke_political_fixture,fixture_classification,3,80,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L1_uncertainty,2.810810810810811,0.945945945945946,0.7027027027027026,2,1
